,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
57,David Ezeh,fiFIN,FW,HJK,19-122,2006,8,0,134,1.5,1,0,1,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches
58,Maissa Fall,snSEN,"FW,MF",VPS,30-101,1995,10,10,900,10.0,5,0,5,5,0,0,3,0,0.50,0.00,0.50,0.50,0.50,Matches
59,Babacar Fati,gwGNB,DF,SJK,25-134,2000,12,12,"1,056",11.7,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches
60,Nicolas Fleuriau,caCAN,FW,VPS,23-025,2002,9,2,361,4.0,2,1,3,2,0,0,0,0,0.50,0.25,0.75,0.50,0.75,Matches
61,Michael Fonsell,fiFIN,DF,IFK Mariehamn,21-324,2003,5,5,417,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Petteri Forsell,fiFIN,"FW,MF",KTP,34-242,1990,7,6,539,6.0,1,2,3,1,0,0,2,0,0.17,0.33,0.50,0.17,0.50,Matches
63,Niklas Friberg,fiFIN,DF,Haka,29-093,1996,10,9,759,8.4,0,3,3,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36,Matches
64,Valentín Gasc,arARG,MF,SJK,24-249,2000,12,12,"1,054",11.7,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
65,Salim Giabo Yussif,ghGHA,DF,SJK,23-009,2002,7,7,499,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Mitchell Glasson,auAUS,"MF,FW",KTP,19-042,2006,9,2,273,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
67,Albin Granlund,fiFIN,DF,Inter Turku,35-287,1989,10,9,790,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
