Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
98,Maxime Delanghe,beBEL,GK,Cercle Brugge,23,2001,21,21,"1,881",20.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Martin Delavallée,beBEL,GK,Charleroi,20,2004,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Mathias Delorge,beBEL,MF,Gent,20,2004,28,28,"2,388",26.5,1,3,4,1,0,0,3,0,1.5,1.5,1.5,3,30,160,69,0.04,0.11,0.15,0.04,0.15,0.06,0.06,0.11,0.06,0.11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Isaías Delpupo,arARG,"FW,DF",Sint-Truiden,21,2003,8,1,139,1.5,0,0,0,0,0,0,1,2,0.3,0.3,0.3,0.6,5,8,17,0,0,0,0,0,0.22,0.18,0.4,0.22,0.4,Matches
102,Olivier Deman,beBEL,DF,Antwerp,24,2000,10,10,891,9.9,0,0,0,0,0,0,4,0,0.5,0.5,0.8,1.3,11,38,38,0,0,0,0,0,0.05,0.09,0.13,0.05,0.13,Matches
103,Bas van den Eynden,beBEL,DF,Mechelen,22,2002,9,8,724,8,3,0,3,3,0,0,2,0,1,1,0,1,0,10,0,0.37,0,0.37,0.37,0.37,0.12,0.01,0.12,0.12,0.12,Matches
104,Leander Dendoncker,beBEL,"MF,DF",Anderlecht,29,1995,20,19,"1,739",19.3,0,1,1,0,0,0,3,0,1.9,1.9,1,2.9,23,70,16,0,0.05,0.05,0,0.05,0.1,0.05,0.15,0.1,0.15,Matches
105,Kévin Denkey,tgTOG,FW,Cercle Brugge,23,2000,17,14,"1,311",14.6,10,1,11,9,1,1,3,0,8.3,7.5,2.2,9.7,17,29,130,0.69,0.07,0.76,0.62,0.69,0.57,0.15,0.72,0.51,0.66,Matches
106,Djevencio van der Kust,srSUR,DF,Beerschot,23,2001,3,3,197,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,10,10,19,0,0,0,0,0,0.08,0.07,0.14,0.08,0.14,Matches
107,Alfie Devine,engENG,MF,Westerlo,19,2004,21,18,"1,606",17.8,4,0,4,4,0,0,3,0,3.3,3.2,1.3,4.5,32,92,91,0.22,0,0.22,0.22,0.22,0.18,0.07,0.25,0.18,0.25,Matches
108,Julien Devriendt,beBEL,GK,Dender,25,1998,4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Gilles Dewaele,beBEL,DF,Kortrijk,28,1996,19,12,"1,094",12.2,1,0,1,1,0,0,1,0,0.8,0.8,0.6,1.4,12,36,60,0.08,0,0.08,0.08,0.08,0.07,0.05,0.12,0.07,0.12,Matches
110,Ibrahim Diakité,gnGUI,DF,Cercle Brugge,20,2003,22,18,"1,647",18.3,2,0,2,2,0,0,2,1,0.4,0.4,0.4,0.8,22,68,17,0.11,0,0.11,0.11,0.11,0.02,0.02,0.04,0.02,0.04,Matches
111,Daan Dierckx,beBEL,DF,Standard Liège,21,2003,7,6,523,5.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,6,0,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
112,Guillaume Dietsch,frFRA,GK,Dender,23,2001,1,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Alouis Diriken,beBEL,MF,Sint-Truiden,20,2004,2,2,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
114,Kasper Dolberg,dkDEN,FW,Anderlecht,26,1997,22,22,"1,672",18.6,14,1,15,10,4,4,1,0,12.6,9.4,2.6,12.1,21,24,109,0.75,0.05,0.81,0.54,0.59,0.68,0.14,0.82,0.51,0.65,Matches
115,Mahamadou Doumbia,mlMLI,MF,Antwerp,20,2004,21,18,"1,662",18.5,3,0,3,2,1,1,5,0,1.7,0.9,0.8,1.7,31,80,22,0.16,0,0.16,0.11,0.11,0.1,0.05,0.14,0.05,0.1,Matches
116,Souleyman Doumbia,ciCIV,DF,Standard Liège,27,1996,10,1,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
117,Vetle Dragsnes,noNOR,DF,Charleroi,30,1994,28,25,"2,155",23.9,0,1,1,0,0,0,2,0,0.7,0.7,2.8,3.5,55,92,132,0,0.04,0.04,0,0.04,0.03,0.12,0.15,0.03,0.15,Matches
118,Anders Dreyer,dkDEN,FW,Anderlecht,26,1998,18,16,"1,377",15.3,3,5,8,3,0,0,0,0,4.2,4.2,4.3,8.5,29,61,128,0.2,0.33,0.52,0.2,0.52,0.28,0.28,0.56,0.28,0.56,Matches
119,Olivier Dumont,beBEL,"MF,FW",Sint-Truiden,22,2002,13,5,441,4.9,1,0,1,1,0,0,0,0,0.5,0.5,0.6,1,7,18,20,0.2,0,0.2,0.2,0.2,0.1,0.12,0.21,0.1,0.21,Matches
120,Jean-Kevin Duverne,htHAI,"DF,MF",Kortrijk,27,1997,7,7,630,7,3,0,3,3,0,0,1,0,0.8,0.8,0.9,1.7,13,32,27,0.43,0,0.43,0.43,0.43,0.12,0.13,0.24,0.12,0.24,Matches
121,Dennis Eckert,deGER,FW,Standard Liège,27,1997,23,20,"1,796",20,6,0,6,5,1,2,2,0,8.8,7.2,1.5,8.6,31,64,130,0.3,0,0.3,0.25,0.25,0.44,0.07,0.52,0.36,0.43,Matches
122,Dennis Eckert,deGER,FW,Union SG,27,1997,3,3,198,2.2,1,0,1,1,0,0,0,0,1,1,0.1,1.1,2,5,11,0.45,0,0.45,0.45,0.45,0.45,0.05,0.5,0.45,0.5,Matches
123,Samuel Edozie,engENG,FW,Anderlecht,21,2003,17,11,955,10.6,2,2,4,2,0,0,1,0,2.6,2.6,1.7,4.2,49,27,118,0.19,0.19,0.38,0.19,0.38,0.24,0.16,0.4,0.24,0.4,Matches
124,Malamine Efekele,frFRA,"MF,FW",Cercle Brugge,20,2004,13,2,243,2.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,5,15,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
125,Jurgen Ekkelenkamp,nlNED,MF,Antwerp,24,2000,1,1,66,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,3,4,0,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
126,Nunzio Engwanda,beBEL,DF,Anderlecht,16,2007,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
127,Matthieu Epolo,beBEL,GK,Standard Liège,20,2004,19,18,"1,665",18.5,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0.05,0.05,0,0.05,0,0,0,0,0,Matches
128,Alieu Fadera,gmGAM,MF,Genk,22,2001,2,2,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,8,5,24,0,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches
129,Noah Fadiga,snSEN,"DF,MF",Gent,24,1999,15,12,841,9.3,4,0,4,4,0,0,2,0,1.4,1.4,0.5,1.9,24,28,90,0.43,0,0.43,0.43,0.43,0.15,0.06,0.2,0.15,0.2,Matches
130,Omar Fayed,egEGY,DF,Beerschot,21,2003,11,9,740,8.2,0,1,1,0,0,0,5,0,0,0,1,1,10,30,2,0,0.12,0.12,0,0.12,0,0.12,0.12,0,0.12,Matches
131,Matias Fernandez-Pardo,beBEL,"MF,FW",Gent,19,2005,3,2,164,1.8,1,0,1,1,0,0,1,0,1.1,1.1,0,1.1,9,6,17,0.55,0,0.55,0.55,0.55,0.6,0,0.6,0.6,0.6,Matches
