Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
55,José Luis Rodríguez Bebanz,uyURU,DF,Vasco da Gama,28-093,1997,5,2,205,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,9,32,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04,Matches
56,Luis Benedetti,brBRA,DF,Palmeiras,19-008,2006,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.06,0.02,0.07,0.06,0.07,Matches
57,Alexandro Bernabei,arARG,DF,Internacional,24-264,2000,8,8,710,7.9,0,2,2,0,0,0,1,0,0.4,0.4,2.2,2.6,22,31,70,0,0.25,0.25,0,0.25,0.05,0.28,0.34,0.05,0.34,Matches
58,Facundo Bernal,uyURU,MF,Fluminense,21-298,2003,6,3,298,3.3,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,2,7,2,0,0,0,0,0,0.05,0.01,0.05,0.05,0.05,Matches
59,Bernard,brBRA,"FW,MF",Atlético Mineiro,32-280,1992,9,1,215,2.4,0,0,0,0,0,0,1,0,0,0,0.4,0.5,11,23,21,0,0,0,0,0,0.02,0.18,0.2,0.02,0.2,Matches
60,Matheus Bianqui,brBRA,"MF,FW",Mirassol,27-135,1998,4,0,57,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
61,Matheus Bidu,brBRA,"DF,MF",Corinthians,26-042,1999,5,4,360,4,0,1,1,0,0,0,0,0,0,0,1,1.1,9,20,24,0,0.25,0.25,0,0.25,0.01,0.25,0.27,0.01,0.27,Matches
62,Damián Bobadilla,pyPAR,MF,São Paulo,23-339,2001,8,3,400,4.4,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,1,32,2,0,0,0,0,0,0.08,0.05,0.12,0.08,0.12,Matches
63,Yannick Bolasie,cdCOD,FW,Cruzeiro,36-022,1989,6,0,89,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,2,7,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
64,Gabriel Bontempo,brBRA,"MF,FW",Santos,20-150,2005,11,5,490,5.4,0,1,1,0,0,0,0,0,0.8,0.8,1.1,1.8,8,22,15,0,0.18,0.18,0,0.18,0.14,0.2,0.33,0.14,0.33,Matches
