Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
129,Adriel Fernández,boBOL,MF,San Antonio Bulo Bulo,29-085,1996,5,4,298,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Brayan Fernández,coCOL,FW,Real Tomayapo,33-141,1992,7,6,446,5,0,1,1,0,0,0,4,1,0,0.2,0.2,0,0.2,Matches
131,Leo Aaron Petter Andersen Fernandez,boBOL,,Wilstermann,18-182,2006,1,0,30,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
132,Sergio Ferreira,boBOL,FW,Aurora,21-210,2003,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Manuel Ferrel,boBOL,GK,Guabirá,23-265,2001,7,6,555,6.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
134,Roler Ferrufino,boBOL,FW,Always Ready,24-248,2000,6,1,271,3,2,1,3,2,0,0,1,0,0.66,0.33,1,0.66,1,Matches
135,Ariel Flores,boBOL,GK,Aurora,20-250,2004,2,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Enrique Flores,boBOL,DF,San Antonio Bulo Bulo,31-134,1994,5,3,347,3.9,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
137,Escleizon Freita,,,Bolívar,,,9,7,675,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
138,Juan Gabriel Valverde,boBOL,DF,Blooming,34-356,1990,9,8,720,8,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
139,Lucas Galarza,pyPAR,GK,ABB,24-240,2000,9,9,810,9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
140,Matias Galindo,boBOL,MF,ABB,19-066,2006,8,7,496,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
141,Pedro Galindo,boBOL,GK,Nacional Potosí,31-063,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Samuel Galindo,boBOL,MF,GV San José,33-058,1992,6,2,194,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Vladimir Gálvez,boBOL,MF,Oriente Petrolero,18-324,2006,8,8,720,8,0,2,2,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches
144,Alfredo García,boBOL,FW,Nacional Potosí,23-100,2002,2,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Jhon García,boBOL,MF,The Strongest,25-063,2000,9,4,330,3.7,3,1,4,3,0,0,1,0,0.82,0.27,1.09,0.82,1.09,Matches
146,Samuel Garzón,boBOL,FW,Blooming,26-034,1999,9,5,487,5.4,3,0,3,3,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
147,Francisco Gatti,arARG,MF,Guabirá,31-019,1994,6,4,322,3.6,1,1,2,1,0,0,2,0,0.28,0.28,0.56,0.28,0.56,Matches
148,Tomson Geraldy Minda,ecECU,MF,Real Tomayapo,24-190,2000,8,5,419,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
149,Sergio Gil,boBOL,DF,Guabirá,27-357,1997,2,2,104,1.2,0,1,1,0,0,0,0,0,0,0.87,0.87,0,0.87,Matches
150,Arnaldo Giménez,pyPAR,GK,Wilstermann,38-098,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Diago Giménez,arARG,MF,FC Universitario,28-045,1997,8,8,645,7.2,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
152,Juan Godoy,pyPAR,MF,The Strongest,31-357,1993,6,4,358,4,4,0,4,4,0,0,0,0,1.01,0,1.01,1.01,1.01,Matches
153,Raúl Gómez,boBOL,DF,Real Oruro,18-194,2006,7,6,539,6,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
154,Richet Gómez,boBOL,MF,Blooming,24-185,2000,4,3,278,3.1,1,0,1,1,0,0,2,0,0.32,0,0.32,0.32,0.32,Matches
155,Franz Gonzáles,boBOL,MF,Oriente Petrolero,24-354,2000,8,6,576,6.4,0,1,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
156,Juan Gonzáles,boBOL,MF,Blooming,19-104,2006,4,4,286,3.2,0,2,2,0,0,0,0,0,0,0.63,0.63,0,0.63,Matches
157,Marcelo Gonzales,boBOL,MF,Aurora,19-192,2005,9,9,716,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Jasond González,coCOL,FW,Always Ready,26-003,1999,9,9,713,7.9,6,0,6,6,0,0,1,0,0.76,0,0.76,0.76,0.76,Matches
159,Saulo Guerra,boBOL,MF,Nacional Potosí,32-274,1992,6,5,306,3.4,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
160,Sebastián Guerrero,uyURU,FW,The Strongest,24-265,2000,4,3,218,2.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
