Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
315,Niklas Szerencsi,atAUT,DF,SK Austria Klagenfurt,24,2000,19,15,"1,389",15.4,0,0,0,0,0,0,4,0,0,0,0,0,0
316,Matthäus Taferner,atAUT,MF,WSG Tirol,23,2001,26,26,"2,268",25.2,1,3,4,1,0,0,8,1,0.04,0.12,0.16,0.04,0.16
317,Maksym Talovierov,uaUKR,DF,LASK,24,2000,12,4,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0
318,Adil Taoui,frFRA,MF,LASK,22,2001,12,2,311,3.5,1,0,1,1,0,0,3,0,0.29,0,0.29,0.29,0.29
319,Tomás Tavares,ptPOR,MF,LASK,23,2001,3,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Queyrell Tchicamboud,frFRA,MF,LASK,18,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Aleksa Terzić,rsSRB,DF,RB Salzburg,24,1999,22,17,"1,631",18.1,0,5,5,0,0,0,1,0,0,0.28,0.28,0,0.28
322,Alexis Tibidi,frFRA,MF,LASK,20,2003,4,1,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0
323,Antonio Tikvić,hrCRO,DF,Grazer AK,20,2004,15,13,"1,208",13.4,0,0,0,0,0,0,5,0,0,0,0,0,0
324,David Toshevski,mkMKD,FW,SK Austria Klagenfurt,23,2001,23,15,"1,279",14.2,6,3,9,6,0,0,3,0,0.42,0.21,0.63,0.42,0.63
325,Tim Trummer,atAUT,DF,RB Salzburg,18,2005,11,4,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
326,Lukas Tursch,atAUT,DF,Blau-Weiß Linz,28,1996,4,1,114,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0
327,Maximilian Ullmann,atAUT,"MF,DF",Wolfsberger AC,28,1996,30,30,"2,619",29.1,3,3,6,3,0,0,3,0,0.1,0.1,0.21,0.1,0.21
328,Christoph Urdl,atAUT,MF,Hartberg,24,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Moses Usor,ngNGA,MF,LASK,22,2002,8,7,653,7.3,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14
330,Cem Üstündag,atAUT,"MF,DF",WSG Tirol,23,2001,26,15,"1,369",15.2,2,1,3,2,0,0,6,2,0.13,0.07,0.2,0.13,0.2
331,Ignace Van Der Brempt,beBEL,DF,RB Salzburg,22,2002,1,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Yorbe Vertessen,beBEL,"FW,MF",RB Salzburg,23,2001,16,15,"1,231",13.7,5,2,7,5,0,0,1,0,0.37,0.15,0.51,0.37,0.51
333,William Vick,dkDEN,"FW,MF",Sturm Graz,21,2003,30,27,"2,172",24.1,11,5,16,10,1,1,0,1,0.46,0.21,0.66,0.41,0.62
334,Dominic Vincze,atAUT,DF,Rapid Wien,20,2004,4,4,353,3.9,0,1,1,0,0,0,1,0,0,0.25,0.25,0,0.25
335,Radek Vítek,,GK,Blau-Weiß Linz,20,2003,26,26,"2,340",26,0,0,0,0,0,0,2,0,0,0,0,0,0
336,Yannick Vötter,atAUT,"MF,FW",WSG Tirol,19,2004,12,2,264,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0
337,Romeo Vucic,atAUT,FW,Grazer AK,21,2003,17,7,698,7.8,2,1,3,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39
338,Oliver Wähling,engENG,MF,Blau-Weiß Linz,24,1999,9,2,313,3.5,1,1,2,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58
339,Silvan Wallner,chSUI,DF,Blau-Weiß Linz,22,2002,5,3,320,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0
340,Moritz Wels,atAUT,MF,Austria Wien,19,2004,12,0,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Christopher Wernitznig,atAUT,MF,SK Austria Klagenfurt,34,1990,30,25,"2,312",25.7,4,5,9,4,0,0,5,0,0.16,0.19,0.35,0.16,0.35
342,Florian Wiegele,atAUT,GK,Grazer AK,23,2001,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Philipp Wiesinger,atAUT,DF,Austria Wien,30,1994,22,17,"1,638",18.2,1,0,1,1,0,0,6,0,0.05,0,0.05,0.05,0.05
344,Fabian Wilfinger,atAUT,DF,Hartberg,20,2003,21,19,"1,710",19,1,0,1,1,0,0,6,0,0.05,0,0.05,0.05,0.05
345,Nicolas Wimmer,atAUT,DF,Wolfsberger AC,29,1995,27,26,"2,293",25.5,0,1,1,0,0,0,2,1,0,0.04,0.04,0,0.04
346,Nikolaus Wurmbrand,atAUT,"MF,FW",Rapid Wien,18,2006,15,6,511,5.7,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18
347,Florian Wustinger,atAUT,MF,Austria Wien,21,2003,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
348,Gregory Wüthrich,chSUI,DF,Sturm Graz,29,1994,21,18,"1,675",18.6,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05
349,Philipp Wydra,atAUT,FW,SK Austria Klagenfurt,21,2003,23,1,457,5.1,2,0,2,2,0,0,2,0,0.39,0,0.39,0.39,0.39
350,Erkin Yalcin,atAUT,FW,SCR Altach,20,2004,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
351,Malick Yalcouye,ciCIV,MF,Sturm Graz,18,2005,26,24,"1,977",22,4,1,5,4,0,0,4,0,0.18,0.05,0.23,0.18,0.23
352,Erencan Yardimci,trTUR,FW,Sturm Graz,22,2002,8,2,211,2.3,2,0,2,2,0,0,3,0,0.85,0,0.85,0.85,0.85
353,Atsushi Zaizen,jpJPN,MF,Grazer AK,25,1999,12,3,414,4.6,1,1,2,1,0,0,3,0,0.22,0.22,0.43,0.22,0.43
354,Benedikt Zech,atAUT,DF,SCR Altach,33,1990,16,16,"1,433",15.9,0,0,0,0,0,0,1,0,0,0,0,0,0
355,Philipp Ziereis,deGER,DF,LASK,31,1993,26,25,"2,180",24.2,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08
356,Dejan Zukić,rsSRB,"MF,FW",Wolfsberger AC,23,2001,31,30,"2,314",25.7,10,8,18,10,0,0,5,0,0.39,0.31,0.7,0.39,0.7
357,Robert Žulj,atAUT,"MF,FW",LASK,32,1992,27,22,"1,998",22.2,7,7,14,7,0,0,1,0,0.32,0.32,0.63,0.32,0.63
358,Lovro Zvonarek,hrCRO,"FW,MF",Sturm Graz,19,2005,13,4,388,4.3,1,0,1,1,0,0,1,0,0.23,0,0.23,0.23,0.23
