Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
508,Enzo Sternal,frFRA,"FW,MF",Marseille,17,2007,2,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
509,Gabriel Suazo,clCHI,DF,Toulouse,26,1997,30,23,"2,163",24,0,6,6,0,0,0,0,0,0.8,0.8,3.8,4.7,42,109,118,0,0.25,0.25,0,0.25,0.03,0.16,0.19,0.03,0.19,Matches
510,Abakar Sylla,ciCIV,DF,Strasbourg,21,2002,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches
511,Issiaga Sylla,gnGUI,DF,Montpellier,30,1994,19,15,"1,156",12.8,1,0,1,1,0,0,2,0,1.8,1.8,0.6,2.4,33,53,46,0.08,0,0.08,0.08,0.08,0.15,0.05,0.19,0.15,0.19,Matches
512,Musa Al-Taamari,joJOR,"FW,MF",Montpellier,27,1997,15,12,"1,116",12.4,2,1,3,2,0,0,3,0,2.6,2.6,1.5,4.1,55,30,76,0.16,0.08,0.24,0.16,0.24,0.21,0.12,0.33,0.21,0.33,Matches
513,Musa Al-Taamari,joJOR,"FW,MF",Rennes,27,1997,11,7,567,6.3,1,0,1,1,0,0,1,0,2.4,2.4,1.3,3.8,21,8,39,0.16,0,0.16,0.16,0.16,0.39,0.21,0.6,0.39,0.6,Matches
514,Nicolás Tagliafico,arARG,DF,Lyon,31,1992,24,22,"1,902",21.1,3,1,4,3,0,0,7,0,3,3,0.8,3.8,31,97,81,0.14,0.05,0.19,0.14,0.19,0.14,0.04,0.18,0.14,0.18,Matches
515,Axel Tapé,frFRA,"DF,MF",Paris S-G,16,2007,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0.1,1,5,1,0,0,0,0,0,0.02,0,0.03,0.02,0.03,Matches
516,Florian Tardieu,frFRA,MF,Saint-Étienne,32,1992,24,13,"1,252",13.9,2,4,6,2,0,0,0,0,0.6,0.6,1.3,1.9,11,139,44,0.14,0.29,0.43,0.14,0.43,0.05,0.1,0.15,0.05,0.15,Matches
517,Oussama Targhalline,maMAR,MF,Le Havre,22,2002,14,12,990,11,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.9,25,66,34,0,0,0,0,0,0.01,0.06,0.08,0.01,0.08,Matches
