,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
84,Byron Carabalí,ecECU,DF,SD Aucas,22-054,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Franklin Carabalí,ecECU,DF,El Nacional,28-353,1996,12,12,945,10.5,2,0,2,2,0,0,5,0,0.19,0.00,0.19,0.19,0.19,Matches
86,Édison Carcelén,ecECU,DF,Técnico Univ.,32-218,1992,8,5,441,4.9,1,0,1,1,0,0,5,1,0.20,0.00,0.20,0.20,0.20,Matches
87,Michael Carcelen,ecECU,"FW,MF",SD Aucas,28-063,1997,15,10,986,11.0,7,4,11,7,0,1,2,0,0.64,0.37,1.00,0.64,1.00,Matches
88,Omar Cárdenas,ecECU,GK,Delfín,25-287,1999,3,2,211,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Marco Carrasco,ecECU,MF,Vinotinto,32-163,1993,1,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Facundo Castelli,arARG,"FW,MF",CS Emelec,30-117,1995,11,10,852,9.5,2,0,2,2,0,0,5,1,0.21,0.00,0.21,0.21,0.21,Matches
91,Anderson Castillo,ecECU,"MF,FW",Manta Fútbol Club,21-122,2004,6,2,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Byron Castillo,ecECU,"MF,DF",Barcelona,26-217,1998,11,6,572,6.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Ederson Castillo,ecECU,MF,LDU de Quito,16-187,2008,3,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Jesus Castillo,ecECU,"DF,MF",Univ Católica,26-050,1999,10,8,711,7.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Marco Castillo,ecECU,MF,Técnico Univ.,27-305,1997,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Luis Castro,ecECU,MF,Delfín,29-105,1996,13,10,792,8.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
