Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
59,Aleksander van der Spa,noNOR,FW,Sandefjord,20-114,2005,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Madiodio Dia,snSEN,DF,Haugesund,21-151,2004,9,9,810,9,1,0,1,1,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
61,Ole Didrik Blomberg,noNOR,"MF,FW",Bodø/Glimt,25-003,2000,7,7,488,5.4,3,2,5,3,0,0,0,0,0.55,0.37,0.92,0.55,0.92,Matches
62,Jakob Dunsby,noNOR,MF,Sandefjord,25-094,2000,9,9,741,8.2,2,2,4,2,0,0,0,0,0.24,0.24,0.49,0.24,0.49,Matches
63,Mathias Dyngeland,noNOR,GK,Brann,29-251,1995,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Robin Dzabic,seSWE,MF,Sandefjord,24-073,2001,6,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,David Edvardsson,seSWE,MF,Tromsø,23-102,2002,8,4,368,4.1,1,0,1,1,0,0,3,0,0.24,0,0.24,0.24,0.24,Matches
66,Vetle Egeli,noNOR,DF,Sandefjord,20-357,2004,5,4,331,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
67,Vegar Eggen Hedenstad,noNOR,DF,Vålerenga,33-354,1991,5,4,238,2.6,0,1,1,0,0,0,1,0,0,0.38,0.38,0,0.38,Matches
68,Daniel Eid,noNOR,"MF,DF",Fredrikstad,26-244,1998,10,10,844,9.4,0,2,2,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
69,Jostein Ekeland,noNOR,FW,Strømsgodset,27-326,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Anton Ekeroth,seSWE,DF,HamKam,23-272,2001,9,7,604,6.7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
71,Mads Enggård,dkDEN,MF,Molde,21-146,2004,6,5,436,4.8,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
72,Lars Erik Sødal,noNOR,MF,Bryne,23-020,2002,7,6,580,6.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
73,Kristian Eriksen,noNOR,"MF,FW",Molde,29-332,1995,9,9,740,8.2,3,0,3,3,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
74,Vegard Erlien,noNOR,FW,Tromsø,27-159,1998,9,9,776,8.6,5,1,6,4,1,1,0,0,0.58,0.12,0.7,0.46,0.58,Matches
75,Julius Eskesen,dkDEN,MF,Haugesund,26-091,1999,10,9,802,8.9,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Runar Espejord,noNOR,FW,Haugesund,29-109,1996,7,6,371,4.1,1,0,1,0,1,1,0,0,0.24,0,0.24,0,0,Matches
77,Håkon Evjen,noNOR,MF,Bodø/Glimt,25-121,2000,8,8,652,7.2,0,2,2,0,0,0,2,0,0,0.28,0.28,0,0.28,Matches
78,Henrik Falchener,noNOR,DF,Viking,22-038,2003,12,12,"1,080",12,3,0,3,3,0,0,2,0,0.25,0,0.25,0.25,0.25,Matches
79,Fallou Fall,snSEN,DF,Fredrikstad,21-061,2004,8,8,708,7.9,1,0,1,1,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches
80,Benjamin Faraas,noNOR,FW,Fredrikstad,19-280,2005,9,0,99,1.1,1,0,1,1,0,0,0,0,0.91,0,0.91,0.91,0.91,Matches
81,Marko Farji,iqIRQ,MF,Strømsgodset,21-091,2004,9,8,729,8.1,5,3,8,5,0,0,2,0,0.62,0.37,0.99,0.62,0.99,Matches
82,Einar Fauskanger,noNOR,GK,Haugesund,16-332,2008,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
